model,version,embedding_dim,pairs,best_threshold,accuracy,eer,eer_threshold,fit_seconds,embed_seconds,score_seconds
pixel-cosine,0.1.0,12544,20,0.11533648893237114,0.65,0.4,0.17540714889764786,1.311899904976599e-05,0.0015656229988962878,0.00022635999994236045
dct-low-frequency,0.1.0,576,20,0.7887087166309357,0.55,0.5,0.77946338057518,4.126999556319788e-06,0.003542908001691103,4.283599992049858e-05
