model,version,embedding_dim,pairs,best_threshold,accuracy,eer,eer_threshold,fit_seconds,embed_seconds,score_seconds
pixel-cosine,0.1.0,12544,6000,0.21940793097019196,0.6166666666666667,0.38966666666666666,0.17749546468257904,0.0008196269991458394,0.5365343079974991,0.056640115995833185
dct-low-frequency,0.1.0,576,6000,0.8002981245517731,0.5983333333333334,0.41333333333333333,0.7730427980422974,0.0008577469998272136,1.524516654004401,0.010962587002723012
lbp-histogram,0.1.0,12544,6000,12.042455196380615,0.5531666666666667,0.4623333333333333,10.886610984802246,0.0009338739982922561,44.663705364000634,0.08927875600056723
eigenfaces-pca,0.1.0,64,6000,0.0784371942281723,0.618,0.38866666666666666,0.028283544816076756,8.605471322996891,29.549924234001082,0.014957541003241204
