corruption,level,model,version,embedding_dim,pairs,best_threshold,accuracy,eer,eer_threshold,fit_seconds,embed_seconds,score_seconds
brightness_down,0.15,pixel-cosine,0.1.0,12544,12,0.9774827063083649,1.0,0.0,0.9774827063083649,8.819999493425712e-06,0.0009759120002854615,7.116300184861757e-05
brightness_down,0.15,dct-low-frequency,0.1.0,576,12,0.9969263672828674,1.0,0.0,0.9969263672828674,3.460001607891172e-06,0.0018488470013835467,2.0489002054091543e-05
brightness_down,0.3,pixel-cosine,0.1.0,12544,12,0.9774826765060425,1.0,0.0,0.9774826765060425,7.622998964507133e-06,0.000711082000634633,6.882600064272992e-05
brightness_down,0.3,dct-low-frequency,0.1.0,576,12,0.9969263672828674,1.0,0.0,0.9969263672828674,3.245000698370859e-06,0.0018145569993066601,2.010500247706659e-05
brightness_down,0.45,pixel-cosine,0.1.0,12544,12,0.9774826765060425,1.0,0.0,0.9774826765060425,6.905000191181898e-06,0.0006597969986614771,6.544099960592575e-05
brightness_down,0.45,dct-low-frequency,0.1.0,576,12,0.996926337480545,1.0,0.0,0.996926337480545,2.9369984986260533e-06,0.002166114998544799,2.3927001166157424e-05
brightness_up,0.15,pixel-cosine,0.1.0,12544,12,0.9753919839859009,1.0,0.0,0.9753919839859009,8.847000572131947e-06,0.0006672819981758948,5.2514002163661644e-05
brightness_up,0.15,dct-low-frequency,0.1.0,576,12,0.9596664905548096,0.75,0.3333333333333333,0.9625974595546722,3.062999894609675e-06,0.0017390360007993877,1.8568000086816028e-05
brightness_up,0.3,pixel-cosine,0.1.0,12544,12,0.9655880928039551,1.0,0.0,0.9655880928039551,8.517999958712608e-06,0.0005580930010182783,8.409399742959067e-05
brightness_up,0.3,dct-low-frequency,0.1.0,576,12,0.9300170242786407,0.75,0.3333333333333333,0.9110136032104492,2.7710011636372656e-06,0.0019205790013074875,1.969900040421635e-05
