model,version,embedding_dim,pairs,best_threshold,accuracy,eer,eer_threshold,fit_seconds,embed_seconds,score_seconds
pixel-cosine,0.1.0,12544,32,0.9724554419517517,1.0,0.0,0.9724554419517517,1.2292999599594623e-05,0.0012591869999596383,0.00014103300054557621
dct-low-frequency,0.1.0,576,32,0.9930338561534882,0.96875,0.0625,0.9883267283439636,3.968998498748988e-06,0.0025758810006664135,4.509200152824633e-05
lbp-histogram,0.1.0,12544,32,21.771595001220703,0.65625,0.5625,19.422943115234375,3.6089986679144204e-06,0.09430427999905078,0.0003553460010152776
eigenfaces-pca,0.1.0,28,32,-0.03571473807096481,0.5625,0.59375,-0.03571424447000027,0.05403299899990088,0.007486975999199785,9.322099867858924e-05
